UrlID,Url,Title,Matched segm,Matched Option,All options,Found,Attriubte
290900,http://www.indemedical.com/ROHO-Agility-Mid-Contour-Wheelchair-Back_p_1980.html,with air and system lumbar pad,N/A,N/A,"['Fixed Mount Fixed Mount', 'Quick Release Quick Release']",FALSE,Mounting Options
290900,http://www.indemedical.com/ROHO-Agility-Mid-Contour-Wheelchair-Back_p_1980.html,with air and system lumbar pad,with air and system lumbar pad,Air Insert and Lumbar Support Pad Air Insert and Lumbar Support Pad,"['Air Insert Only Air Insert Only', 'Air Insert and Lumbar Support Pad Air Insert and Lumbar Support Pad']",TRUE,Models
290900,http://www.indemedical.com/ROHO-Agility-Mid-Contour-Wheelchair-Back_p_1980.html,with air and system lumbar pad,N/A,N/A,"['Size Options:', '14 W x 10 H', '14 W x 13 H', '14 W x 16 H', '14 W x 18 H', '14 W x 20 H', '16 W x 10 H', '16 W x 13 H', '16 W x 16 H', '16 W x 18 H', '16 W x 20 H', '18 W x 10 H', '18 W x 13 H', '18 W x 16 H', '18 W x 18 H', '18 W x 20 H', '20 W x 10 H', '20 W x 13 H', '20 W x 16 H', '20 W x 18 H', '20 W x 20 H']",FALSE,Size Options:
1257595,http://www.indemedical.com/Tranquility-TopLiner-Booster-Pads_p_3458.html,TopLiner Booster Pad (2070 - Case 8 Bags of 25),N/A,N/A,N/A,No action link documented,N/A
1272049,http://www.indemedical.com/Tranquility-TopLiner-Booster-Contours_p_3459.html,of 3096 12 bags contour case 10,of 3096 12 bags contour case 10,32 x 14 (27.5 oz.) Pack of 12,"['Ordering Options', '21.5 x 13.5 (13.6 oz.) Pack of 12', '32 x 14 (27.5 oz.) Pack of 12', '21.5 x 13.5 (13.6 oz.) Case of 120', '32 x 14 (27.5 oz.) Case of 96']",TRUE,Ordering Options
2629766,http://www.indemedical.com/Standers-Security-Pole-and-Curved-Grab-Bar_p_406.html, & white curve, & white curve,White White,"['White White', 'Black Black']",TRUE,Order
2641083,http://www.indemedical.com/Standers-Security-Pole-and-Curved-Grab-Bar_p_406.html, black curve, black curve,Black,"['White', 'Black']",TRUE,Type
2647696,http://www.indemedical.com/EZ-Fold-N-Go-Walker_p_3841.html, black walnut ngo,N/A,N/A,"['', '', '', '']",FALSE,Type
2649071,http://www.indemedical.com/EZ-Fold-N-Go-Walker_p_3841.html, blue ngo cobalt, blue ngo cobalt,Cobalt Blue,"['Ordering Options', 'Black Walnut', 'Regal Rose', 'Cobalt Blue']",TRUE,Type
2666286,http://www.indemedical.com/EZ-Fold-N-Go-Walker_p_3841.html, rose regal ngo, rose regal ngo,Regal Rose,"['Ordering Options', 'Black Walnut', 'Regal Rose', 'Cobalt Blue']",TRUE,Type
2887137,http://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Ramp_p_3775.html,TRANSITIONS ANGLED ENTRY RAMP 12-IN,N/A,N/A,N/A,cannot click to scout,N/A
2887137,http://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Ramp_p_3775.html,12 in,N/A,N/A,"['Ordering Options', '12” Threshold', '24 Threshold', '36” Threshold']",FALSE,Color
2996105,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,3 ft,3 ft,3 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Color
2996119,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,4 ft,4 ft,4 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Color
2996122,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,5 ft,5 ft,5 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Color
2996125,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,GATEWAY SOLID SURFACE RAMP 6-FT,N/A,N/A,N/A,No action link documented,N/A
2996125,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,6 ft,6 ft,6 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2996436,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft 7,ft 7,7 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2996440,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft 8,ft 8,8 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2996446,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,9 ft,9 ft,9 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2996469,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft 10,ft 10,10 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2998774,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft 3 w/ handrails,ft 3 w/ handrails,3 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2998810,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft w/ 4 handrails,ft w/ 4 handrails,4 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2999204,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft 5 w/ handrails,ft 5 w/ handrails,5 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2999205,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,6 w/ handrails ft,6 w/ handrails ft,6 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2999210,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft 7 w/ handrails,ft 7 w/ handrails,7 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2999215,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft w/ handrails 8,ft w/ handrails 8,8 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2999216,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,9 w/ handrails ft,9 w/ handrails ft,9 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
2999218,http://www.indemedical.com/EZ-Access-Gateway-Solid-Surface-Portable-Ramp_p_3769.html,ft 10 w/ handrails,ft 10 w/ handrails,10 Foot with Handrails,"['Ordering Options', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '9 Foot', '10 Foot', '3 Foot with Handrails', '4 Foot with Handrails', '5 Foot with Handrails', '6 Foot with Handrails', '7 Foot with Handrails', '8 Foot with Handrails', '9 Foot with Handrails', '10 Foot with Handrails']",TRUE,Type
3016456,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 2 singlfold,ft 2 singlfold,2 Foot,"['Ordering Options', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot']",TRUE,Type
3016456,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 2 singlfold,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016464,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 3 singlfold,ft 3 singlfold,3 Foot,"['Ordering Options', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot']",TRUE,Type
3016464,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 3 singlfold,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016465,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 4 singlfold,ft 4 singlfold,4 Foot,"['Ordering Options', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot']",TRUE,Type
3016465,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 4 singlfold,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016469,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 5 singlfold,ft 5 singlfold,5 Foot,"['Ordering Options', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot']",TRUE,Type
3016469,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft 5 singlfold,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016542,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft 2 singlfold,ft 2 singlfold,2 Foot,"['Ramp Sizes', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot']",TRUE,Ramp Sizes
